event_date,event_performer_name,event_title,event_openers,event_addl_desc,event_type,event_subtype,ticket_cost,venue_name,venue_location_city,venue_location_state
9/3/1995,The Ramones,Bumbershoot,,,concert,Punk,$0.01,Memorial Stadium,Seattle,WA
8/15/1996,Smashing Pumpkins,,,,concert,Alternative,$25.00,Key Arena,Seattle,WA
12/17/1996,Soundgarden,,,,concert,Alternative,$18.00,Mercer Arena,Seattle,WA
7/13/1997,H.O.R.D.E. Festival,,"Neil Young, Ben Folds Five, Primus, Squirrel Nut Zippers",,festival,,$30.00,Portland Meadows,Portland,OR
7/15/1997,Weezer,,,,concert,Alternative,$0.01,DV8,Seattle,WA
8/29/1997,,Bumbershoot,,,concert,Festival,$9.00,Seattle Center,Seattle,WA
8/30/1997,,Bumbershoot,,,concert,Festival,$8.00,Seattle Center,Seattle,WA
9/12/1997,Rage Against The Machine,,,,concert,Rock,$25.00,The Gorge Amphitheatre,George,WA
12/8/1997,Jane's Addiction,,,,concert,Alternative,$25.00,Key Arena,Seattle,WA
2/5/1998,Ben Folds Five,,,,concert,Alternative,$15.50,DV8,Seattle,WA
4/21/1998,America,,,,concert,Folk,$0.00,Tacoma Dome,Tacoma,WA
7/15/1998,Phish,,,,concert,Jam,$26.00,Portland Meadows,Portland,OR
7/16/1998,Phish,,,,concert,Jam,$27.00,The Gorge Amphitheatre,George,WA
7/17/1998,Phish,,,,concert,Jam,$27.00,The Gorge Amphitheatre,George,WA
7/18/1998,Pearl Jam,,,,concert,Alternative,$23.00,Rose Garden Arena,Portland,OR
9/4/1998,,Bumbershoot,,,concert,Festival,$9.00,Seattle Center,Seattle,WA
9/5/1998,,Bumbershoot,,,concert,Festival,$9.00,Seattle Center,Seattle,WA
9/11/1998,Tori Amos,,,,concert,,$27.50,Key Arena,Seattle,WA
4/1/1999,"Medeski, Martin & Wood",,,,concert,Jazz,$19.00,Moore Theatre,Seattle,WA
4/26/1999,Sunny Day Real Estate,,,,concert,Alternative,$10.00,HUB Ballroom @ UW,Seattle,WA
5/9/1999,Sky Cries Mary,,,,concert,Alternative,$10.00,The Fenix,Seattle,WA
6/13/1999,Bob Dylan,,Paul Simon,,concert,Folk,$74.30,The Gorge Amphitheatre,George,WA
9/10/1999,Phish,,,,concert,Jam,$28.75,The Gorge Amphitheatre,George,WA
9/11/1999,Phish,,,,concert,Jam,$28.75,The Gorge Amphitheatre,George,WA
11/19/1999,Modest Mouse,,,,concert,Alternative,$8.00,HUB Ballroom @ UW,Seattle,WA
12/3/1999,Sky Cries Mary,,,,concert,Alternative,$10.00,The Fenix,Seattle,WA
12/31/1999,Phish,,,,concert,Jam,$150.00,Big Cypress Seminole Indian Reservation,Seminole Indian Reservation,FL
5/6/2000,Violent Femmes,,,,concert,Alternative,$19.50,Moore Theatre,Seattle,WA
5/15/2000,Eric Idle Exploits Monty Python,,,,comedy,Musical,$38.00,Paramount Theatre,Seattle,WA
6/1/2000,"Medeski, Martin & Wood",,,,concert,Jazz,$22.50,Moore Theatre,Seattle,WA
6/3/2000,USC 4 Year Anniversary,,,,concert,Dance,$33.00,Stadium Exhibition Center,Seattle,WA
11/19/2000,Dark Star Orchestra,,,,concert,Jam,$20.00,King Cat Theatre,Seattle,WA
4/12/2001,"Medeski, Martin & Wood",,,,concert,Jazz,$26.00,Paramount Theatre,Seattle,WA
8/31/2001,,Bumbershoot,,,concert,Festival,$12.00,Seattle Center,Seattle,WA
9/1/2001,,Bumbershoot,,,concert,Festival,$12.00,Seattle Center,Seattle,WA
11/8/2001,Tool,,,,concert,Rock,$38.50,Tacoma Dome,Tacoma,WA
4/30/2002,Reverend Horton Heat,,,,concert,Rockabilly,$17.50,The Showbox,Seattle,WA
5/21/2002,Trey Anastasio,,,,concert,Jam,$33.00,Paramount Theatre,Seattle,WA
